RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
50,83506850,Jones,643,Spain,Male,32,0,193331.24,2,0,0,196650.42
51,23187277,Brown,766,Spain,Female,25,8,222709.73,2,0,0,40259.88
52,78979792,Miller,359,Germany,Female,22,5,85274.02,4,0,1,44848.34
53,47709731,Smith,514,France,Female,83,4,68926.3,3,0,0,99456.51
54,36939239,Brown,830,Spain,Female,90,1,37932.86,1,0,0,175488.7
55,33027075,Williams,564,France,Male,63,1,232522.13,4,1,1,116924.33
56,91200125,Johnson,475,Germany,Female,82,6,44207.3,4,0,0,106654.64
57,96191493,Miller,616,Spain,Male,83,5,29829.31,3,1,0,26483.84
58,97796277,Johnson,629,France,Female,43,7,48169.55,3,0,0,192777.34
59,76401385,Davis,437,Spain,Male,48,2,192845.43,4,1,0,75952.03
60,32335235,Miller,804,Spain,Male,68,2,222382.31,3,1,1,57843.36
61,10271836,Johnson,463,Germany,Female,58,4,202728.36,3,0,0,88231.35
62,13584702,Smith,370,France,Female,68,9,140809.64,1,1,1,88694.61
63,62631083,Williams,497,France,Female,36,3,248471.06,2,1,0,97121.29
64,18585377,Davis,594,Spain,Female,90,7,17213.52,4,1,1,140822.26
65,96544585,Jones,615,France,Female,20,5,216797.92,3,1,0,174909.85
66,95157821,Johnson,566,Spain,Male,55,7,106928.47,2,0,1,20889.45
67,97655395,Miller,780,Germany,Male,87,6,113780.59,2,1,1,103246.03
68,27824013,Williams,833,Germany,Male,62,1,31898.72,2,1,0,88655.84
69,46601694,Brown,589,France,Female,88,8,8358.24,3,0,0,12067.22
70,77105583,Smith,780,Germany,Female,58,10,79157.08,4,1,1,165133.0
71,70304654,Williams,748,Germany,Female,42,5,43713.38,4,0,0,29819.51
72,44119117,Williams,777,France,Male,67,10,120834.69,3,0,0,31802.12
73,46433622,Jones,581,Spain,Female,18,10,36832.63,3,0,0,19176.7
74,99482491,Williams,581,Germany,Male,71,5,34481.93,4,0,0,48080.11
75,70031992,Jones,591,France,Male,30,1,219244.75,4,0,1,43595.09
76,65105831,Smith,539,France,Female,57,8,230323.68,4,1,0,76094.51
77,13366612,Smith,739,France,Male,38,0,241054.05,1,1,0,135261.37
78,68743503,Brown,578,Germany,Male,58,5,170125.61,2,1,1,20315.9
79,46258670,Jones,415,Germany,Male,78,7,192754.13,1,1,0,173452.39
80,79739572,Jones,809,Spain,Female,50,1,208946.19,1,0,1,72049.94
81,65848857,Johnson,727,Spain,Male,90,2,164730.51,3,1,0,125255.39
82,67055419,Johnson,737,Spain,Female,46,9,82560.78,2,1,0,12280.97
83,59160571,Brown,628,Spain,Female,72,9,39096.75,2,0,1,79503.5
84,78394024,Smith,618,Spain,Male,49,6,59318.33,4,0,1,10389.67
85,74525468,Garcia,558,Spain,Female,28,10,210103.51,3,0,1,41437.07
86,99966606,Johnson,764,France,Male,69,0,174024.31,3,1,1,95091.58
87,48727468,Williams,365,Spain,Female,53,4,113948.94,4,0,0,111666.61
88,61757120,Smith,646,Germany,Female,48,10,7351.27,4,1,0,39056.43
89,77157848,Garcia,823,Spain,Female,31,5,66551.09,1,1,0,151591.09
90,87897542,Davis,569,Germany,Female,80,9,182224.37,4,0,0,45910.7
91,83665032,Williams,606,Spain,Female,69,6,128096.81,4,1,1,32010.57
92,95390464,Miller,716,France,Female,71,9,108883.12,3,1,0,73350.66
93,58170987,Jones,617,France,Female,67,9,78419.85,1,1,0,114771.45
94,62562567,Smith,578,Germany,Male,71,6,151732.96,2,1,0,197891.35
95,33717335,Miller,468,Spain,Male,90,2,241596.35,1,1,0,89555.99
96,70472382,Brown,789,France,Male,52,6,225280.91,3,0,1,90939.32
97,22719242,Jones,527,France,Female,47,0,7624.48,2,1,1,21273.36
98,58715250,Jones,369,Spain,Male,72,10,120238.46,1,1,1,155505.74
99,93139152,Williams,799,Germany,Female,18,3,82367.32,4,1,1,44538.77
100,54054178,Miller,385,Germany,Female,32,6,127651.17,1,0,0,151512.68
101,48334882,Jones,684,Germany,Female,42,6,151553.42,2,1,1,183017.21
102,62441466,Johnson,771,France,Female,37,3,50007.02,1,0,0,155961.94
103,59583876,Smith,755,Spain,Female,88,0,195392.02,1,0,1,132066.15
104,96117865,Johnson,457,France,Female,33,7,118767.01,1,1,0,124744.1
105,73203558,Williams,538,France,Female,69,3,248001.51,4,0,0,96190.25
106,47407771,Garcia,527,France,Female,82,1,6281.85,3,0,0,37463.11
107,93122310,Davis,445,France,Male,87,3,47429.79,3,0,1,157979.34
108,37009224,Williams,664,Spain,Female,18,7,172407.45,3,0,0,100691.23
109,61327755,Smith,369,France,Male,33,7,173794.94,1,1,0,128872.71
110,89018913,Jones,513,France,Male,44,4,145547.06,2,0,0,81062.89
111,17130144,Miller,731,Germany,Female,35,1,242990.01,1,0,0,48137.32
112,14545583,Miller,446,France,Male,61,6,103828.75,1,1,1,163236.61
113,64079037,Brown,492,Spain,Female,67,2,104259.2,3,0,1,75055.96
114,64474455,Williams,411,France,Male,91,5,227619.09,3,0,0,174669.21
115,51542436,Smith,591,Spain,Female,31,8,134610.45,4,0,1,193487.73
116,56626914,Brown,587,Spain,Male,69,4,88431.92,1,0,1,167697.82
117,63933927,Jones,480,Spain,Female,67,8,179734.5,4,0,0,34346.23
118,62453338,Garcia,442,Germany,Male,34,3,154917.65,4,1,0,172452.08
119,24881728,Williams,844,Germany,Female,20,8,76602.51,4,1,1,108677.99
120,44045666,Garcia,440,France,Female,79,0,74482.2,3,0,1,55868.2
121,22722094,Smith,482,France,Male,38,3,98903.2,4,0,1,27699.65
122,32178434,Garcia,472,France,Male,50,10,17905.02,1,1,1,62916.87
123,56321408,Garcia,789,Spain,Male,18,0,235654.23,4,1,1,36111.15
124,22796932,Smith,764,Spain,Male,87,8,45755.01,3,0,1,14872.47
125,84023414,Smith,691,Spain,Female,73,7,48456.08,1,1,0,197675.23
126,36063245,Williams,768,France,Male,21,7,161759.6,1,1,1,167993.03
127,49443226,Garcia,467,France,Male,39,6,181061.76,2,1,0,150400.36
128,83619289,Brown,804,France,Female,75,8,184208.86,3,0,0,46672.62
129,17887739,Davis,547,France,Female,61,10,93768.76,2,0,1,15269.92
130,70736972,Smith,631,Germany,Female,74,10,218332.24,3,0,1,102188.74
131,71071026,Jones,723,Germany,Male,57,2,135999.77,3,1,0,150921.94
132,10769598,Garcia,350,Germany,Male,73,6,109646.89,3,0,1,192939.1
133,99178975,Smith,560,France,Male,80,5,202596.62,2,1,1,170337.9
134,59007334,Brown,612,Germany,Male,56,4,60890.31,4,0,0,179765.45
135,38433648,Miller,769,Germany,Female,24,8,215046.36,3,0,1,55345.92
136,17971379,Williams,681,France,Male,31,3,134707.35,1,1,0,39511.94
137,13331068,Garcia,561,Germany,Male,35,2,225014.54,1,0,0,57078.54
138,46810847,Miller,436,France,Female,72,10,50403.13,3,1,1,36330.1
139,44428803,Smith,502,France,Female,73,2,234015.77,3,0,0,161711.93
140,15654237,Smith,699,France,Female,74,1,171969.19,3,0,0,181578.18
141,71553124,Jones,536,Spain,Male,75,0,154582.13,4,1,0,68394.98
142,55816038,Jones,410,France,Male,42,2,105516.88,3,1,1,176615.97
143,27750764,Garcia,634,Germany,Female,87,7,239078.75,4,0,1,20456.68
144,46898446,Miller,444,Germany,Male,20,5,110979.91,4,1,1,138697.74
145,33841962,Davis,623,France,Male,38,1,124635.74,3,0,1,110223.71
146,76834972,Miller,390,Spain,Female,49,7,195374.53,3,0,0,62581.23
147,53156515,Smith,496,Spain,Female,19,4,71210.61,4,0,0,155958.21
148,32993420,Davis,595,Spain,Female,37,3,72873.83,2,1,1,50288.98
149,72190751,Garcia,481,Germany,Male,35,0,193824.42,4,1,0,89068.4
150,31970758,Smith,798,Spain,Male,71,0,32144.95,1,0,0,144873.27
151,46513466,Jones,646,Spain,Male,53,3,205741.13,3,0,1,74263.51
152,41288562,Brown,472,France,Female,78,8,156293.75,2,1,1,172518.44
153,31351509,Johnson,492,Spain,Male,77,9,134770.94,2,0,1,174431.13
154,33484187,Davis,531,Spain,Male,53,9,57277.35,3,0,0,48480.78
155,71777469,Johnson,541,Spain,Female,61,5,196592.04,2,1,1,93674.1
156,46093880,Smith,805,France,Male,85,0,201238.27,1,0,1,92082.4
157,60441204,Miller,748,France,Male,83,7,120735.47,3,1,0,87908.58
158,91752859,Jones,556,Spain,Female,61,8,97292.24,4,1,1,105374.71
159,54066131,Williams,783,Germany,Female,46,1,61540.46,3,1,1,24129.6
160,85415325,Williams,580,Germany,Female,65,5,188558.5,1,0,0,175309.5
161,45563453,Johnson,371,France,Female,53,6,159862.98,2,1,1,65083.81
162,44755914,Brown,751,Spain,Female,25,10,51657.76,3,0,1,10344.35
163,60873983,Johnson,429,Germany,Male,22,0,198617.02,1,1,0,140169.75
164,63892568,Smith,479,Spain,Female,64,10,220551.33,4,1,1,133589.7
165,33637222,Brown,641,France,Female,60,4,14811.82,1,0,1,196800.82
166,12484413,Williams,625,Germany,Female,27,10,193105.16,3,1,0,146656.97
167,80016224,Miller,749,France,Male,27,10,213200.48,1,1,0,73214.16
168,49449976,Jones,672,Spain,Male,23,4,247876.97,4,1,1,190997.33
169,99583549,Davis,725,France,Female,33,2,59400.37,3,0,0,79415.7
170,12235000,Jones,763,France,Male,77,1,92750.8,2,0,0,166036.49
171,33685747,Smith,404,France,Male,43,0,241547.77,3,0,1,73778.07
172,47876684,Johnson,415,France,Male,38,5,23503.89,4,1,0,19254.58
173,82931048,Smith,576,Germany,Female,75,6,130926.96,4,1,1,149419.12
174,39859174,Davis,375,Spain,Male,58,1,126686.14,3,0,1,76540.08
175,46102853,Jones,790,Germany,Male,47,1,151636.93,4,1,0,74388.66
176,56159303,Davis,602,Spain,Female,22,4,82698.15,1,1,0,146011.81
177,22195226,Williams,546,Spain,Female,27,4,231479.52,1,0,0,71187.19
178,57936136,Jones,479,Spain,Male,28,2,67515.32,2,1,1,32422.41
179,79062973,Brown,592,Spain,Female,80,2,162423.88,3,1,0,86856.95
180,24421668,Miller,661,Spain,Female,24,0,123981.76,2,0,1,166530.37
181,31200096,Davis,561,Germany,Female,76,2,66668.36,1,1,0,34738.85
182,93375337,Miller,539,Spain,Female,29,8,47213.45,2,1,1,115351.35
183,33234510,Garcia,639,France,Male,81,1,239140.53,4,1,1,35129.27
184,61715898,Jones,575,Germany,Female,58,0,140322.87,3,1,0,19344.74
185,55968757,Jones,595,Germany,Female,77,8,151047.73,3,1,1,81954.86
186,10061087,Miller,405,Spain,Male,89,4,195723.86,3,1,1,134997.83
187,90705119,Garcia,404,France,Female,45,7,20306.66,1,1,1,62247.59
188,76653416,Brown,625,France,Male,80,10,178441.07,4,1,0,94688.92
189,95382256,Johnson,655,Spain,Female,20,3,41285.03,1,1,0,103352.88
190,20274621,Davis,758,Spain,Male,49,7,185120.27,4,1,0,169845.15
191,23022704,Davis,689,France,Female,38,4,35332.17,4,1,0,165606.05
192,26816569,Jones,502,Germany,Female,72,5,208123.42,3,0,0,10445.97
193,17654909,Miller,402,Germany,Male,35,5,170254.07,1,1,0,88644.61
194,47814054,Smith,747,Spain,Male,70,5,96472.57,2,0,0,134657.3
195,94302960,Jones,793,Germany,Male,78,1,89708.61,2,1,1,171955.27
196,25421040,Smith,460,Germany,Male,67,9,37236.77,3,1,1,19290.58
197,34210512,Brown,841,France,Male,25,9,226013.34,1,1,0,129367.18
198,82073914,Jones,776,Germany,Female,29,8,29632.32,4,0,1,169983.7
199,77922032,Davis,840,France,Male,68,6,118019.35,3,1,0,58464.44
200,43779713,Miller,795,Spain,Female,83,2,59129.61,2,0,1,48998.7
201,21506305,Brown,836,Spain,Male,58,1,249081.88,2,1,0,98891.38
202,30560091,Brown,553,France,Male,39,3,146461.01,4,0,1,192890.12
203,96881845,Johnson,461,France,Female,26,7,37396.13,1,1,1,141648.41
204,17734102,Jones,674,Spain,Female,28,8,166891.0,2,0,1,90652.16
205,15674719,Smith,796,France,Female,30,9,247902.25,1,0,0,13963.93
206,18658144,Smith,607,Spain,Female,73,1,151260.82,1,0,0,115777.91
207,50163712,Jones,787,Spain,Male,45,5,114344.77,2,1,1,76269.72
208,99386386,Garcia,365,Spain,Female,81,7,73317.53,2,1,1,45285.59
209,95447809,Johnson,788,Spain,Male,81,2,23030.85,3,0,1,105028.14
210,98917675,Johnson,699,Spain,Male,87,10,57061.57,1,0,0,74862.7
211,54165849,Johnson,844,Spain,Male,72,8,138405.19,3,0,0,17357.69
212,82586911,Smith,776,Germany,Female,54,3,188446.42,1,0,0,147846.14
213,78227907,Brown,794,Germany,Female,50,4,219482.72,2,1,0,149190.75
214,88826934,Miller,515,Spain,Female,42,6,198428.06,1,1,1,127577.98
215,59905866,Garcia,650,Germany,Female,40,10,31366.3,3,1,0,169755.92
216,91121402,Davis,731,France,Female,77,10,193364.97,1,1,1,48604.49
217,50657662,Johnson,784,France,Female,73,4,145401.14,2,0,1,64378.29
218,16659908,Smith,775,Spain,Male,80,3,117276.89,3,1,0,97144.6
219,41378291,Smith,629,Germany,Female,25,3,143191.03,1,1,0,21433.28
220,73020641,Davis,720,France,Male,34,4,2018.83,1,0,0,177873.7
221,46634821,Brown,507,France,Male,74,2,16932.56,1,0,0,103219.44
222,29433354,Davis,770,France,Female,79,8,131462.32,1,1,0,71686.02
223,26887294,Jones,598,France,Female,28,1,43404.81,4,0,1,100813.05
224,83422991,Jones,728,Germany,Female,84,6,136385.24,1,1,1,71774.67
225,45562619,Miller,530,France,Female,57,3,88553.39,2,1,0,64390.05
226,45213498,Davis,540,France,Male,57,7,226853.01,2,0,1,95123.5
227,45703247,Miller,836,France,Female,73,6,237420.86,3,1,1,101561.89
228,50910172,Johnson,488,Spain,Female,70,7,244946.03,1,0,0,92335.62
229,72744322,Miller,427,France,Male,45,3,224734.5,4,1,1,114106.88
230,67805563,Johnson,756,France,Male,59,10,246472.71,4,0,1,158842.01
231,16404003,Garcia,722,Germany,Female,63,1,176536.78,2,0,1,20880.96
232,81244178,Miller,685,France,Male,35,6,240135.57,4,0,0,164188.55
233,61939266,Brown,399,France,Female,40,8,160448.12,2,0,0,53421.53
234,43267858,Johnson,434,France,Female,43,5,202303.55,1,0,1,57897.65
235,31114003,Brown,532,Spain,Male,46,6,32977.5,3,0,0,123898.63
236,96641503,Smith,532,Germany,Male,69,5,170649.9,1,1,1,195377.55
237,20421958,Johnson,353,Germany,Female,63,1,232775.83,4,0,1,13305.87
238,87809459,Smith,830,Spain,Female,18,8,135012.06,3,1,0,137895.38
239,22984808,Williams,787,Spain,Female,80,4,46704.93,3,0,0,142410.47
240,24764960,Brown,666,Germany,Male,33,2,131722.14,2,0,0,118993.84
241,60402943,Williams,460,France,Male,42,3,176735.25,3,0,1,11841.12
242,86241446,Johnson,683,Germany,Female,79,3,192447.12,2,1,0,125206.84
243,63777024,Smith,688,Spain,Female,33,8,130925.5,4,0,1,31854.05
244,93494666,Johnson,600,France,Male,86,10,54342.01,2,1,0,24832.86
245,80721464,Williams,482,Germany,Female,87,4,231672.2,1,1,0,142251.7
246,94711896,Davis,449,France,Male,51,1,193404.35,4,0,0,143044.57
247,89214742,Davis,828,France,Female,70,5,67672.1,1,0,0,179083.25
248,53799966,Johnson,842,Spain,Male,40,6,202953.23,4,1,1,10642.29
249,20047453,Garcia,751,Germany,Female,60,7,86965.66,3,0,0,81964.37
250,45581225,Jones,521,Spain,Female,61,4,78107.84,4,1,1,12331.68
251,44109026,Williams,636,Germany,Female,49,7,215769.16,1,0,1,79285.88
252,52090758,Johnson,468,Germany,Male,40,7,218308.8,4,1,0,103415.01
253,26037627,Smith,699,France,Female,37,3,99620.35,1,1,1,110648.54
254,90337039,Johnson,754,France,Female,36,6,2230.7,3,1,1,77627.22
255,30281689,Davis,524,France,Female,89,8,46641.41,1,0,1,147807.26
256,67631343,Smith,379,Spain,Female,46,9,227324.08,2,1,0,88963.04
257,81450611,Jones,404,France,Female,35,3,224687.33,4,1,0,108254.04
258,56510960,Johnson,710,Spain,Female,86,8,113336.19,1,1,0,162016.64
259,42797855,Miller,545,France,Male,29,3,76029.18,1,0,0,43117.53
260,44795514,Davis,802,Spain,Male,27,0,75687.07,1,0,1,70970.09
261,15184502,Miller,390,Germany,Female,54,3,224298.7,2,1,1,109071.62
262,33448674,Jones,522,Spain,Female,72,1,81183.33,3,1,0,155847.46
263,65223954,Williams,679,Spain,Male,21,5,127895.06,2,1,1,90817.53
264,40948143,Smith,568,Spain,Male,80,7,182752.76,3,0,1,23825.69
265,22503247,Miller,557,Germany,Female,29,5,52370.26,2,1,1,197877.8
266,64006163,Garcia,507,Spain,Male,35,8,63459.77,1,1,0,144503.04
267,61910807,Williams,682,Germany,Female,25,5,89515.47,2,0,1,147319.68
268,64847136,Smith,577,France,Female,49,10,163555.85,4,0,0,98369.93
269,83150359,Davis,434,France,Male,66,6,204372.66,3,1,0,113937.61
270,40831219,Davis,522,Germany,Female,80,4,136676.44,1,1,1,198869.2
271,33101383,Davis,594,Spain,Female,76,7,33232.18,3,0,1,123071.98
272,27569187,Jones,709,France,Female,84,1,111561.38,1,1,1,51596.6
273,64710375,Miller,522,Spain,Female,56,1,31922.68,1,0,1,193232.15
274,64456147,Davis,684,Spain,Male,67,10,22074.29,4,0,1,112174.91
275,88110973,Brown,561,Germany,Male,88,7,147404.19,2,0,0,13927.94
276,49501026,Davis,433,France,Male,43,5,239053.03,4,1,0,118936.78
277,43163773,Johnson,522,Germany,Female,40,1,209402.96,3,1,1,23390.36
278,21310552,Jones,532,Germany,Male,80,5,193617.82,2,1,0,110241.78
279,41146082,Smith,792,Germany,Male,83,10,181763.99,3,0,0,166813.02
280,31104792,Smith,482,Germany,Male,56,7,224281.96,2,1,0,112384.61
281,31739356,Smith,729,Spain,Female,83,5,188208.77,4,0,1,80956.13
282,21471761,Smith,637,France,Female,63,8,156719.34,1,1,1,177695.85
283,29576703,Johnson,611,France,Female,32,5,91170.02,3,1,0,186242.11
284,85092305,Williams,699,France,Female,33,2,25235.97,3,0,1,76023.29
285,82429249,Garcia,631,Spain,Female,89,8,115258.34,4,1,0,104800.65
286,28877237,Brown,642,Spain,Male,33,9,231196.06,4,0,0,196755.24
287,56918818,Johnson,618,Germany,Male,56,4,145775.07,2,0,1,43839.16
288,33705256,Smith,698,Germany,Male,28,5,46126.04,3,0,1,66649.11
289,94504547,Johnson,546,Germany,Female,53,3,162255.83,4,1,0,91400.27
290,87633091,Jones,374,Germany,Male,35,2,116365.56,2,0,0,29168.78
291,89452960,Garcia,490,France,Male,40,9,232845.02,2,1,1,61688.09
292,65403796,Smith,821,Germany,Female,66,4,40234.98,3,0,1,113490.85
293,33508102,Brown,572,Spain,Female,59,2,178002.94,2,0,0,53414.63
294,19405634,Smith,369,Spain,Female,61,1,170400.62,4,0,1,140394.15
295,15853584,Garcia,596,Spain,Female,18,5,245885.39,4,0,1,76057.58
296,34947744,Brown,677,Germany,Male,24,7,141228.03,4,1,1,27061.04
297,58491183,Garcia,793,France,Female,65,2,217893.51,3,0,0,155261.27
298,47856186,Brown,550,France,Female,33,5,6178.48,4,0,1,117809.1
299,58673237,Williams,754,Germany,Female,65,10,30722.99,1,1,0,166725.16
300,75293686,Miller,464,Germany,Male,60,8,86484.64,2,0,1,78428.81
301,11983509,Williams,732,Spain,Male,68,0,154831.85,1,0,0,13682.09
302,28298917,Johnson,538,Spain,Male,83,2,112269.84,2,0,0,18870.81
303,53563237,Johnson,817,France,Male,48,1,50674.06,3,1,0,161135.47
304,87729132,Davis,812,Spain,Male,56,7,147300.93,4,1,1,88021.83
305,87275698,Brown,375,Spain,Female,26,8,141674.76,2,1,0,195513.28
306,83214389,Davis,403,Germany,Female,58,9,131111.87,2,1,1,167758.59
307,36365210,Davis,519,France,Female,80,5,22639.03,4,1,0,13063.16
308,68245345,Smith,744,Germany,Male,31,2,231756.37,3,1,0,175296.24
309,37180308,Miller,770,France,Female,75,9,148063.83,1,0,0,50444.57
310,21326237,Jones,838,Germany,Male,91,7,65997.94,3,0,0,102390.34
311,96343264,Jones,730,France,Male,81,9,171854.55,4,1,0,106163.06
312,71864219,Smith,360,Spain,Female,45,6,79477.0,1,1,1,21347.03
313,64434670,Smith,376,France,Female,21,1,126464.01,4,0,1,33876.47
314,97692768,Williams,699,France,Female,51,10,85282.94,1,1,0,90379.01
315,43255876,Jones,432,Germany,Female,21,6,220098.51,2,1,1,132097.97
316,59114107,Brown,639,France,Male,87,0,248495.15,4,0,0,60239.23
317,25900476,Garcia,387,France,Male,75,7,40295.52,4,1,1,110016.18
318,50820227,Davis,794,France,Male,21,4,5894.74,2,0,0,82035.72
319,89688895,Johnson,436,Germany,Female,67,8,54830.63,4,0,1,129769.07
320,97927856,Davis,786,France,Male,22,10,147488.0,1,0,1,90643.09
321,63059071,Davis,670,Germany,Female,62,2,43487.78,4,1,1,171810.29
322,99595920,Garcia,736,Spain,Male,52,6,202871.11,3,0,0,196911.37
323,22707035,Williams,800,Germany,Female,44,7,102167.64,1,1,1,183479.85
324,15130397,Jones,505,France,Male,19,0,152633.19,4,1,1,42034.8
325,80560220,Davis,747,Spain,Female,71,5,113904.46,2,1,0,96863.76
326,46998516,Miller,657,France,Female,89,10,225831.98,3,1,1,97175.37
327,46481541,Smith,635,Germany,Male,65,1,8783.83,3,1,0,169688.61
328,76385640,Miller,535,Spain,Female,66,7,182325.47,2,1,1,77865.97
329,76880548,Miller,531,Spain,Male,18,5,163043.03,3,1,0,114424.36
330,88384476,Jones,802,Spain,Female,50,10,162378.76,3,0,0,125763.01
331,52058334,Brown,718,France,Male,52,10,103497.35,1,0,0,31188.95
332,59742523,Williams,492,Spain,Female,71,2,3918.81,4,0,0,116012.61
333,49769056,Davis,771,Spain,Male,73,3,172310.18,1,0,0,56899.88
334,65174259,Davis,555,Spain,Male,32,6,207367.8,2,1,0,49257.21
335,66688830,Davis,491,Spain,Male,86,8,21307.58,1,1,0,57559.96
336,53369428,Smith,534,Germany,Male,21,10,110404.38,3,0,0,28876.88
337,24650271,Garcia,792,France,Female,81,9,40648.71,2,0,1,23248.75
338,41725526,Brown,590,France,Female,39,1,152734.45,4,1,1,132904.61
339,89348896,Garcia,357,Spain,Male,41,8,196401.22,2,0,1,188785.98
340,28992383,Johnson,421,Germany,Male,64,5,166676.64,2,1,1,140719.93
341,80995266,Williams,752,Spain,Female,23,1,79515.02,3,1,0,69252.57
342,66877183,Brown,637,France,Male,44,7,34933.18,1,0,1,73658.85
343,94574185,Brown,444,France,Male,27,3,198567.04,3,0,0,112863.95
344,11989173,Davis,506,France,Male,56,10,80979.21,3,0,1,174597.36
345,46635193,Garcia,390,Spain,Female,91,7,5534.96,1,0,0,48468.26
346,42474983,Smith,680,Spain,Male,54,10,142855.3,1,1,0,99017.16
347,43999533,Johnson,650,Germany,Female,71,6,61669.33,3,0,1,104799.88
348,24716695,Davis,618,Germany,Female,68,6,210301.5,4,0,0,186932.49
349,73967150,Davis,504,France,Female,77,10,35813.8,1,1,0,111869.05
350,73981206,Davis,624,France,Male,89,6,108700.21,4,1,0,158363.15
351,74785345,Garcia,503,Germany,Male,68,1,63282.55,3,1,1,26682.22
352,27882750,Brown,402,France,Male,79,7,172400.4,1,1,1,72115.49
353,88725274,Williams,528,Germany,Female,66,1,137132.73,3,1,1,126170.46
354,70303849,Brown,770,Spain,Male,68,2,197746.93,1,1,1,138751.21
355,20192257,Jones,589,France,Male,45,9,114653.14,2,0,1,178190.31
356,53167705,Williams,486,France,Female,53,6,1202.11,1,1,1,122180.51
357,31130343,Davis,604,Germany,Female,42,6,53799.12,3,0,0,65020.05
358,50869792,Williams,825,Spain,Female,53,6,249789.28,1,0,1,112428.1
359,59913224,Brown,573,France,Male,77,3,101336.25,1,1,1,145190.7
360,74356138,Smith,529,France,Male,24,4,155058.78,3,1,1,159025.59
